0,1,2,3,4,5,6,7,8,9
D,ROOFTOP,ACTUAL,2,2026/03/12 07:00:00,SA1,37.784,0.6,SATELLITE,2026/03/12 07:20:18
D,ROOFTOP,ACTUAL,2,2026/03/12 07:00:00,TAS1,24.988,0.6,SATELLITE,2026/03/12 07:20:18
D,ROOFTOP,ACTUAL,2,2026/03/12 07:00:00,VIC1,237.785,0.6,SATELLITE,2026/03/12 07:20:18
C,NEMP.WORLD,ROOFTOP_PV_ACTUAL_SATELLITE,AEMO,PUBLIC,2026/03/05,01:30:19,0000000506364893,DEMAND,0000000506364891
D,ROOFTOP,ACTUAL,2,2026/03/05 01:00:00,NSW1,0,0.6,SATELLITE,2026/03/05 01:20:20
D,ROOFTOP,ACTUAL,2,2026/03/05 01:00:00,QLD1,0,0.6,SATELLITE,2026/03/05 01:20:20
D,ROOFTOP,ACTUAL,2,2026/03/05 01:00:00,SA1,0,0.6,SATELLITE,2026/03/05 01:20:20
D,ROOFTOP,ACTUAL,2,2026/03/05 01:00:00,TAS1,0,0.6,SATELLITE,2026/03/05 01:20:20
D,ROOFTOP,ACTUAL,2,2026/03/05 01:00:00,VIC1,0,0.6,SATELLITE,2026/03/05 01:20:20
C,NEMP.WORLD,ROOFTOP_PV_ACTUAL_SATELLITE,AEMO,PUBLIC,2026/03/10,15:00:10,0000000507213896,DEMAND,0000000507213894
D,ROOFTOP,ACTUAL,2,2026/03/10 14:30:00,NSW1,3825.377,0.6,SATELLITE,2026/03/10 14:50:19
D,ROOFTOP,ACTUAL,2,2026/03/10 14:30:00,QLD1,3359.416,0.6,SATELLITE,2026/03/10 14:50:19
D,ROOFTOP,ACTUAL,2,2026/03/10 14:30:00,SA1,1923.691,0.6,SATELLITE,2026/03/10 14:50:19
D,ROOFTOP,ACTUAL,2,2026/03/10 14:30:00,TAS1,183.879,0.6,SATELLITE,2026/03/10 14:50:19
D,ROOFTOP,ACTUAL,2,2026/03/10 14:30:00,VIC1,3248.04,0.6,SATELLITE,2026/03/10 14:50:19
C,NEMP.WORLD,ROOFTOP_PV_ACTUAL_SATELLITE,AEMO,PUBLIC,2026/03/09,23:00:19,0000000507110297,DEMAND,0000000507110295
D,ROOFTOP,ACTUAL,2,2026/03/09 22:30:00,NSW1,0,0.6,SATELLITE,2026/03/09 22:50:18
D,ROOFTOP,ACTUAL,2,2026/03/09 22:30:00,QLD1,0,0.6,SATELLITE,2026/03/09 22:50:18
D,ROOFTOP,ACTUAL,2,2026/03/09 22:30:00,SA1,0,0.6,SATELLITE,2026/03/09 22:50:18
D,ROOFTOP,ACTUAL,2,2026/03/09 22:30:00,TAS1,0,0.6,SATELLITE,2026/03/09 22:50:18
D,ROOFTOP,ACTUAL,2,2026/03/09 22:30:00,VIC1,0,0.6,SATELLITE,2026/03/09 22:50:18
C,NEMP.WORLD,ROOFTOP_PV_ACTUAL_SATELLITE,AEMO,PUBLIC,2026/03/07,08:00:17,0000000506714027,DEMAND,0000000506714025
D,ROOFTOP,ACTUAL,2,2026/03/07 07:30:00,NSW1,1219.419,0.6,SATELLITE,2026/03/07 07:50:24
D,ROOFTOP,ACTUAL,2,2026/03/07 07:30:00,QLD1,902.92,0.6,SATELLITE,2026/03/07 07:50:24
D,ROOFTOP,ACTUAL,2,2026/03/07 07:30:00,SA1,214.254,0.6,SATELLITE,2026/03/07 07:50:24
D,ROOFTOP,ACTUAL,2,2026/03/07 07:30:00,TAS1,38.42,0.6,SATELLITE,2026/03/07 07:50:24
D,ROOFTOP,ACTUAL,2,2026/03/07 07:30:00,VIC1,546.546,0.6,SATELLITE,2026/03/07 07:50:24
C,NEMP.WORLD,ROOFTOP_PV_ACTUAL_SATELLITE,AEMO,PUBLIC,2026/03/06,15:00:17,0000000506608212,DEMAND,0000000506608210
D,ROOFTOP,ACTUAL,2,2026/03/06 14:30:00,NSW1,3419.711,0.6,SATELLITE,2026/03/06 14:50:23
D,ROOFTOP,ACTUAL,2,2026/03/06 14:30:00,QLD1,3059.478,0.6,SATELLITE,2026/03/06 14:50:23
D,ROOFTOP,ACTUAL,2,2026/03/06 14:30:00,SA1,1974.929,0.6,SATELLITE,2026/03/06 14:50:23
D,ROOFTOP,ACTUAL,2,2026/03/06 14:30:00,TAS1,222.28,0.6,SATELLITE,2026/03/06 14:50:23
D,ROOFTOP,ACTUAL,2,2026/03/06 14:30:00,VIC1,3480.523,0.6,SATELLITE,2026/03/06 14:50:23
C,NEMP.WORLD,ROOFTOP_PV_ACTUAL_SATELLITE,AEMO,PUBLIC,2026/03/13,00:00:19,0000000507587073,DEMAND,0000000507587071
D,ROOFTOP,ACTUAL,2,2026/03/12 23:30:00,NSW1,0,0.6,SATELLITE,2026/03/12 23:50:22
D,ROOFTOP,ACTUAL,2,2026/03/12 23:30:00,QLD1,0,0.6,SATELLITE,2026/03/12 23:50:22
D,ROOFTOP,ACTUAL,2,2026/03/12 23:30:00,SA1,0,0.6,SATELLITE,2026/03/12 23:50:22
D,ROOFTOP,ACTUAL,2,2026/03/12 23:30:00,TAS1,0,0.6,SATELLITE,2026/03/12 23:50:22
D,ROOFTOP,ACTUAL,2,2026/03/12 23:30:00,VIC1,0,0.6,SATELLITE,2026/03/12 23:50:22
C,NEMP.WORLD,ROOFTOP_PV_ACTUAL_SATELLITE,AEMO,PUBLIC,2026/03/06,13:30:16,0000000506598010,DEMAND,0000000506598008
D,ROOFTOP,ACTUAL,2,2026/03/06 13:00:00,NSW1,4479.401,0.6,SATELLITE,2026/03/06 13:20:19
D,ROOFTOP,ACTUAL,2,2026/03/06 13:00:00,QLD1,3875.513,0.6,SATELLITE,2026/03/06 13:20:19
D,ROOFTOP,ACTUAL,2,2026/03/06 13:00:00,SA1,2125.314,0.6,SATELLITE,2026/03/06 13:20:19
D,ROOFTOP,ACTUAL,2,2026/03/06 13:00:00,TAS1,259.807,0.6,SATELLITE,2026/03/06 13:20:19
D,ROOFTOP,ACTUAL,2,2026/03/06 13:00:00,VIC1,3924.103,0.6,SATELLITE,2026/03/06 13:20:19
C,NEMP.WORLD,ROOFTOP_PV_ACTUAL_SATELLITE,AEMO,PUBLIC,2026/03/12,20:00:19,0000000507563244,DEMAND,0000000507563242
D,ROOFTOP,ACTUAL,2,2026/03/12 19:30:00,NSW1,0,0.6,SATELLITE,2026/03/12 19:50:20
D,ROOFTOP,ACTUAL,2,2026/03/12 19:30:00,QLD1,0,0.6,SATELLITE,2026/03/12 19:50:20
D,ROOFTOP,ACTUAL,2,2026/03/12 19:30:00,SA1,0.191,0.6,SATELLITE,2026/03/12 19:50:20
D,ROOFTOP,ACTUAL,2,2026/03/12 19:30:00,TAS1,0,0.6,SATELLITE,2026/03/12 19:50:20
D,ROOFTOP,ACTUAL,2,2026/03/12 19:30:00,VIC1,0,0.6,SATELLITE,2026/03/12 19:50:21
