SETTLEMENTDATE,REGIONID,RRP
2026-03-10 10:10:00,VIC1,-1.28681
2026-03-10 10:15:00,VIC1,-3.49
2026-03-10 10:20:00,VIC1,-3.49
2026-03-10 10:25:00,VIC1,-3.49
2026-03-10 10:30:00,VIC1,-3.49
2026-03-10 10:35:00,VIC1,-3.49
2026-03-10 10:40:00,VIC1,-3.49
2026-03-10 10:45:00,VIC1,0.0
2026-03-10 10:50:00,VIC1,-4.75
2026-03-10 10:55:00,VIC1,-4.25
2026-03-10 11:00:00,VIC1,-2.93505
2026-03-10 11:05:00,VIC1,-3.49
2026-03-10 11:10:00,VIC1,-4.42
2026-03-10 11:15:00,VIC1,-3.49
2026-03-10 11:20:00,VIC1,0.01
2026-03-10 11:25:00,VIC1,-4.75
2026-03-10 11:30:00,VIC1,0.01
2026-03-10 11:35:00,VIC1,0.01
2026-03-10 11:40:00,VIC1,-3.49
2026-03-10 11:45:00,VIC1,-2.92222
2026-03-10 11:50:00,VIC1,-3.49
2026-03-10 11:55:00,VIC1,0.0
2026-03-10 12:00:00,VIC1,13.67
2026-03-10 12:05:00,VIC1,13.91545
2026-03-10 12:10:00,VIC1,13.25
2026-03-10 12:15:00,VIC1,20.34
2026-03-10 12:20:00,VIC1,33.98
2026-03-10 12:25:00,VIC1,30.86731
2026-03-10 12:30:00,VIC1,35.25314
2026-03-10 12:35:00,VIC1,36.66
2026-03-10 12:40:00,VIC1,36.66
2026-03-10 12:45:00,VIC1,40.67
2026-03-10 12:50:00,VIC1,30.63091
2026-03-10 12:55:00,VIC1,36.69
2026-03-10 13:00:00,VIC1,36.66
2026-03-10 13:05:00,VIC1,38.44735
2026-03-10 13:10:00,VIC1,36.66
2026-03-10 13:15:00,VIC1,35.66715
2026-03-10 13:20:00,VIC1,44.15453
2026-03-10 13:25:00,VIC1,34.63039
2026-03-10 13:30:00,VIC1,32.64877
2026-03-10 13:35:00,VIC1,37.01339
2026-03-10 13:40:00,VIC1,36.66
2026-03-10 13:45:00,VIC1,36.2236
2026-03-10 13:50:00,VIC1,35.83861
