0,1,2,3,4,5,6,7,8,9
D,OPERATIONAL_DEMAND,ACTUAL,3,SA1,2026/03/18 04:30:00,1305,0,0,2026/03/18 04:30:02
D,OPERATIONAL_DEMAND,ACTUAL,3,TAS1,2026/03/18 04:30:00,937,0,0,2026/03/18 04:30:02
D,OPERATIONAL_DEMAND,ACTUAL,3,VIC1,2026/03/18 04:30:00,4349,0,0,2026/03/18 04:30:02
C,NEMP.WORLD,ACTUAL_OPERATIONAL_DEMAND_HH,AEMO,PUBLIC,2026/03/21,09:00:15,0000000508964862,DEMAND,0000000508964862
D,OPERATIONAL_DEMAND,ACTUAL,3,NSW1,2026/03/21 09:00:00,6408,0,0,2026/03/21 09:00:01
D,OPERATIONAL_DEMAND,ACTUAL,3,QLD1,2026/03/21 09:00:00,5092,0,0,2026/03/21 09:00:01
D,OPERATIONAL_DEMAND,ACTUAL,3,SA1,2026/03/21 09:00:00,840,0,0,2026/03/21 09:00:01
D,OPERATIONAL_DEMAND,ACTUAL,3,TAS1,2026/03/21 09:00:00,938,0,0,2026/03/21 09:00:01
D,OPERATIONAL_DEMAND,ACTUAL,3,VIC1,2026/03/21 09:00:00,4413,0,0,2026/03/21 09:00:01
C,NEMP.WORLD,ACTUAL_OPERATIONAL_DEMAND_HH,AEMO,PUBLIC,2026/03/21,13:00:20,0000000508991668,DEMAND,0000000508991668
D,OPERATIONAL_DEMAND,ACTUAL,3,NSW1,2026/03/21 13:00:00,6023,0,0,2026/03/21 13:00:01
D,OPERATIONAL_DEMAND,ACTUAL,3,QLD1,2026/03/21 13:00:00,4937,0,0,2026/03/21 13:00:01
D,OPERATIONAL_DEMAND,ACTUAL,3,SA1,2026/03/21 13:00:00,47,0,0,2026/03/21 13:00:01
D,OPERATIONAL_DEMAND,ACTUAL,3,TAS1,2026/03/21 13:00:00,787,0,0,2026/03/21 13:00:01
D,OPERATIONAL_DEMAND,ACTUAL,3,VIC1,2026/03/21 13:00:00,2654,0,0,2026/03/21 13:00:01
C,NEMP.WORLD,ACTUAL_OPERATIONAL_DEMAND_HH,AEMO,PUBLIC,2026/03/20,14:00:21,0000000508827196,DEMAND,0000000508827196
D,OPERATIONAL_DEMAND,ACTUAL,3,NSW1,2026/03/20 14:00:00,6816,0,0,2026/03/20 14:00:01
D,OPERATIONAL_DEMAND,ACTUAL,3,QLD1,2026/03/20 14:00:00,5675,0,0,2026/03/20 14:00:01
D,OPERATIONAL_DEMAND,ACTUAL,3,SA1,2026/03/20 14:00:00,503,0,0,2026/03/20 14:00:01
D,OPERATIONAL_DEMAND,ACTUAL,3,TAS1,2026/03/20 14:00:00,843,0,0,2026/03/20 14:00:01
D,OPERATIONAL_DEMAND,ACTUAL,3,VIC1,2026/03/20 14:00:00,3394,0,0,2026/03/20 14:00:01
C,NEMP.WORLD,ACTUAL_OPERATIONAL_DEMAND_HH,AEMO,PUBLIC,2026/03/19,03:30:21,0000000508550363,DEMAND,0000000508550363
D,OPERATIONAL_DEMAND,ACTUAL,3,NSW1,2026/03/19 03:30:00,6703,0,0,2026/03/19 03:30:02
D,OPERATIONAL_DEMAND,ACTUAL,3,QLD1,2026/03/19 03:30:00,5844,0,0,2026/03/19 03:30:02
D,OPERATIONAL_DEMAND,ACTUAL,3,SA1,2026/03/19 03:30:00,1303,0,0,2026/03/19 03:30:02
D,OPERATIONAL_DEMAND,ACTUAL,3,TAS1,2026/03/19 03:30:00,880,0,0,2026/03/19 03:30:02
D,OPERATIONAL_DEMAND,ACTUAL,3,VIC1,2026/03/19 03:30:00,4398,0,0,2026/03/19 03:30:02
C,NEMP.WORLD,ACTUAL_OPERATIONAL_DEMAND_HH,AEMO,PUBLIC,2026/03/14,04:30:19,0000000507777406,DEMAND,0000000507777406
D,OPERATIONAL_DEMAND,ACTUAL,3,NSW1,2026/03/14 04:30:00,6301,0,0,2026/03/14 04:30:01
D,OPERATIONAL_DEMAND,ACTUAL,3,QLD1,2026/03/14 04:30:00,5926,0,0,2026/03/14 04:30:01
D,OPERATIONAL_DEMAND,ACTUAL,3,SA1,2026/03/14 04:30:00,1204,0,0,2026/03/14 04:30:01
D,OPERATIONAL_DEMAND,ACTUAL,3,TAS1,2026/03/14 04:30:00,905,0,0,2026/03/14 04:30:01
D,OPERATIONAL_DEMAND,ACTUAL,3,VIC1,2026/03/14 04:30:00,4311,0,0,2026/03/14 04:30:01
C,NEMP.WORLD,ACTUAL_OPERATIONAL_DEMAND_HH,AEMO,PUBLIC,2026/03/11,10:00:18,0000000507331737,DEMAND,0000000507331737
D,OPERATIONAL_DEMAND,ACTUAL,3,NSW1,2026/03/11 10:00:00,6488,0,0,2026/03/11 10:00:02
D,OPERATIONAL_DEMAND,ACTUAL,3,QLD1,2026/03/11 10:00:00,5305,0,0,2026/03/11 10:00:02
D,OPERATIONAL_DEMAND,ACTUAL,3,SA1,2026/03/11 10:00:00,1150,0,0,2026/03/11 10:00:02
D,OPERATIONAL_DEMAND,ACTUAL,3,TAS1,2026/03/11 10:00:00,1019,0,0,2026/03/11 10:00:02
D,OPERATIONAL_DEMAND,ACTUAL,3,VIC1,2026/03/11 10:00:00,5866,0,0,2026/03/11 10:00:02
C,NEMP.WORLD,ACTUAL_OPERATIONAL_DEMAND_HH,AEMO,PUBLIC,2026/03/17,06:30:20,0000000508258056,DEMAND,0000000508258056
D,OPERATIONAL_DEMAND,ACTUAL,3,NSW1,2026/03/17 06:30:00,8226,0,0,2026/03/17 06:30:01
D,OPERATIONAL_DEMAND,ACTUAL,3,QLD1,2026/03/17 06:30:00,6486,0,0,2026/03/17 06:30:01
D,OPERATIONAL_DEMAND,ACTUAL,3,SA1,2026/03/17 06:30:00,1475,0,0,2026/03/17 06:30:01
D,OPERATIONAL_DEMAND,ACTUAL,3,TAS1,2026/03/17 06:30:00,1091,0,0,2026/03/17 06:30:01
D,OPERATIONAL_DEMAND,ACTUAL,3,VIC1,2026/03/17 06:30:00,5665,0,0,2026/03/17 06:30:01
C,NEMP.WORLD,ACTUAL_OPERATIONAL_DEMAND_HH,AEMO,PUBLIC,2026/03/09,13:00:19,0000000507046851,DEMAND,0000000507046851
D,OPERATIONAL_DEMAND,ACTUAL,3,NSW1,2026/03/09 13:00:00,7149,0,0,2026/03/09 13:00:01
D,OPERATIONAL_DEMAND,ACTUAL,3,QLD1,2026/03/09 13:00:00,7479,0,0,2026/03/09 13:00:01
D,OPERATIONAL_DEMAND,ACTUAL,3,SA1,2026/03/09 13:00:00,-53,0,0,2026/03/09 13:00:01
D,OPERATIONAL_DEMAND,ACTUAL,3,TAS1,2026/03/09 13:00:00,971,0,0,2026/03/09 13:00:01
D,OPERATIONAL_DEMAND,ACTUAL,3,VIC1,2026/03/09 13:00:00,3185,0,0,2026/03/09 13:00:01
C,NEMP.WORLD,ACTUAL_OPERATIONAL_DEMAND_HH,AEMO,PUBLIC,2026/03/18,13:00:23,0000000508448316,DEMAND,0000000508448316
D,OPERATIONAL_DEMAND,ACTUAL,3,NSW1,2026/03/18 13:00:00,7551,0,0,2026/03/18 13:00:01
D,OPERATIONAL_DEMAND,ACTUAL,3,QLD1,2026/03/18 13:00:00,5672,0,0,2026/03/18 13:00:01
D,OPERATIONAL_DEMAND,ACTUAL,3,SA1,2026/03/18 13:00:00,1379,0,0,2026/03/18 13:00:01
D,OPERATIONAL_DEMAND,ACTUAL,3,TAS1,2026/03/18 13:00:00,803,0,0,2026/03/18 13:00:01
D,OPERATIONAL_DEMAND,ACTUAL,3,VIC1,2026/03/18 13:00:00,3866,0,0,2026/03/18 13:00:01
C,NEMP.WORLD,ACTUAL_OPERATIONAL_DEMAND_HH,AEMO,PUBLIC,2026/03/17,12:30:20,0000000508296931,DEMAND,0000000508296931
D,OPERATIONAL_DEMAND,ACTUAL,3,NSW1,2026/03/17 12:30:00,7383,0,0,2026/03/17 12:30:01
D,OPERATIONAL_DEMAND,ACTUAL,3,QLD1,2026/03/17 12:30:00,5556,0,0,2026/03/17 12:30:01
D,OPERATIONAL_DEMAND,ACTUAL,3,SA1,2026/03/17 12:30:00,1047,0,0,2026/03/17 12:30:01
D,OPERATIONAL_DEMAND,ACTUAL,3,TAS1,2026/03/17 12:30:00,869,0,0,2026/03/17 12:30:01
